31.1,46.3,17.3,5.4,0,0,0
39.5,45.7,12,2.9,0,0,0
35.3,48.3,12.4,4,0,0,0
31.1,42.5,24.5,2,0,0,0
28.3,47.4,19.8,3.5,0,0,0
18.1,33.2,46.9,1.8,0,0,0
19.1,51.1,26.8,1.8,0,0.8,0
29,49.3,6.7,13.8,0,0,0
20.3,44.3,11.2,23.3,0,0,0
34.4,39.7,6.1,19.8,0,0,0
25.6,41.4,6.5,26.5,0,0,0
34.5,38.9,14.8,7.7,0,2.2,0
29.7,46.6,13.1,7.8,0,2.1,0
35.7,36.7,12,13.2,0,1.3,0
16.1,45.3,27,9.9,0,1.7,0
11.6,42.5,30,14.4,0,1.1,0
19.3,49.5,19.2,12.1,0,0,0
24.8,43.3,17.2,12.6,0,1.6,0
22.6,40.2,23.9,11.6,0,1.6,0
28.1,41.7,15.9,11.6,0,1.3,0
27.7,30.9,20.1,5.5,0,0,0
39.3,36.4,10.7,12.7,0,0,0
21.5,55.1,14.5,8.9,0,0,0
17.6,46.5,7.3,26.6,0,2,0
30.4,35.825,6,16.85,0,1.6,0
46,25.6,9.9,15,0,2.6,0
28.4,50.3,6.4,14.9,0,0,0
35.7,36.8,8.3,11.3,0,3.4,0
23.5,43,11.9,17.9,0,2.4,0
49.1,25.5,8.2,13.5,0,3.1,0
34,37.4,12.2,10.1,0,3.1,0
50.3,25.2,7.9,14.1,0,2.5,0
16.6,28.3,13,3.6,36.1,1.2,0
15,24.8,10.2,3.6,45.5,1,0
7.3,52.4,11.4,6.1,21.7,1.1,0
10.9,47.9,7.6,3.6,28.6,0.9,0
12.1,37.8,7.5,4.8,36.3,1.4,0
7.7,33.9,4,1.9,51.4,0.6,0
38.5,11.7,3.1,2.5,14.2,28.3,0
26.3,25.9,11.2,4.2,30.2,2.1,0
16.1,17.8,5.2,3.2,56.7,0.9,0
50.1,16.7,5.1,3,22.9,2,0
6.2,23.1,14.5,4.7,50.5,0.7,0
10.3,13.8,35,1.8,37.6,0.8,0
9,35.8,7.6,4.6,41.8,0.6,0
8.1,28.5,6.9,4.9,51,0.6,0
7.2,57.6,7.9,3.3,22.4,0.9,0
12.5,38.2,8,5.4,34.4,0.7,0
10.8,53.9,9.5,5.2,19.6,0.9,0
8.9,22.1,28.5,1.8,37.8,0.5,0
38,21.3,7.7,3.5,27.2,2.3,0
29.7,20.9,5.6,2.7,36.4,2.1,0
11.2,38.4,7.6,3.7,37.2,1.1,0
36.8,17.1,6.5,3.2,34.9,0.8,0
14.5,37.3,9.6,5.2,31.9,1,0
10.5,52.9,11.8,5.5,17.1,1,0
16.6,17.4,15.9,3.4,44.8,1,0
7.9,42.5,4.5,2.9,40.8,0.5,0
10.3,52.1,11,4.1,21.4,1,0
4.5,34,21.6,4.9,33.3,0.7,0
9.5,58.7,8.2,2.7,19.8,0.9,0
9.1,54.1,13.6,7,14.6,1.2,0
9,22.5,4.5,4.1,58.2,0.9,0
20.9,15.9,24.6,2,35.6,0.9,0
7.2,30.4,10.9,3.4,46.8,0.7,0
